date,Open,High,Low,Close,All,MA5,MA20,MA60
2016/07/29,177,177,172.5,172.5,29795,30962.6,33946.45,34590.883
2016/07/28,175,176.5,173,176.5,31071,30704.4,34577.85,34977.45
2016/07/27,175,176,174.5,175,34117,31116.2,34601.85,35602.567
2016/07/26,172,173,171.5,173,32685,31903.4,34835.8,36141.95
2016/07/25,172,173,169,171.5,27145,33857.6,35346.1,36412.833
2016/07/22,172,172,170.5,171,28504,33378.4,38336.6,36441.3
2016/07/21,171,172,170,172,33130,35995,38039.2,36269
2016/07/20,170,170.5,169,170,38053,36347,37901,35956.083
2016/07/19,170.5,170.5,169,170.5,42456,38875,37398.5,35805.4
2016/07/18,168,170,168,169.5,24749,38780.2,36521.5,35593.283
2016/07/15,168,169.5,166.5,169.5,41587,44029,36816.95,35864.567
2016/07/14,167,170,167,169,34890,40470.8,35959.35,35614.8
2016/07/13,169.5,170,167,168.5,50693,40463.8,35680.25,35371.617
2016/07/12,171,171.5,169.5,171,41982,33605.2,34521.9,35340.35
2016/07/11,170,170.5,168.5,170,50993,30367,34860.95,35163.083
2016/07/07,163.5,165,163,164.5,23796,27415.8,34574.85,34976.3
2016/07/06,163,163,160.5,161.5,34855,31141.2,35738.6,34827.433
2016/07/05,165,165.5,164,164,16400,30480.4,35434.2,34609.4
2016/07/04,165.5,166.5,164.5,166,25791,34959.6,34744.9,35020.167
2016/07/01,164.5,166,163.5,166,36237,38379.6,35049.8,35177.983
2016/06/30,161,163,159.5,162.5,42423,48523.2,34336.85,35543.95
2016/06/29,158.5,160,158,159,31551,44549.8,33562.1,35363.283
2016/06/28,155.5,157.5,155,157,38796,44312.8,35467.9,35661.467
2016/06/27,154.5,156,154,155.5,42891,42154.2,35346.15,35742.617
2016/06/24,164,164,154.5,159,86955,38559.2,34352.15,35345.067
2016/06/23,165.5,166,164,164,22556,27299.8,30866,34150.667
2016/06/22,164.5,166,163.5,166,30366,27675.6,31275.4,33944.4
2016/06/21,164,165.5,163.5,165.5,28003,27464,30981.7,33852.817
2016/06/20,164.5,165,163,163,24916,27368.6,32089,33844.167
2016/06/17,162.5,164.5,162,163,30658,32138,32659.6,33859.517
2016/06/16,161.5,162.5,159.5,160.5,24435,35060.6,32885.7,33784.85
2016/06/15,162,163,161,163,29308,39587.8,33218.5,34312.65
2016/06/14,161,163,161,162,27526,39479.6,33267.35,34627.933
2016/06/13,161,162.5,161,162,48763,34497.2,33447.8,34687.4
2016/06/08,164,166,163.5,165.5,45271,31122.4,34018.45,34353.35
2016/06/07,161.5,163.5,161,162,47071,26463.8,32944.55,34145.167
2016/06/06,161,162,160,161,28767,22435.2,32595.15,33853.783
