date,Open,High,Low,Close,All,MA5,MA20,MA60
2017/11/09,111,111.5,108.5,108.5,40932,30237,30008.6,33583.517
2017/11/08,112.5,113,111,111,24628,26784.4,30049.75,33295.35
2017/11/07,114,114,112,112,29034,25533.6,30971.85,33641.383
2017/11/06,114.5,114.5,113,113,22812,26276.6,30527.65,33844
2017/11/03,113,114.5,112.5,113,33779,29523.4,30484.65,34263.45
2017/11/02,111.5,113,111.5,112.5,23669,27012.4,30086.1,34488.617
2017/11/01,112.5,113,111.5,112,18374,26091.6,30133.8,34688.8
2017/10/31,112.5,113,111.5,112,32749,28340,30002.65,35304.35
2017/10/30,113,114,111.5,111.5,39046,27347.6,30036.3,35112.717
2017/10/27,111.5,112,110,110,21224,25747.8,29816.3,35007
2017/10/26,110,111.5,110,110.5,19065,27190.6,30613,35329.883
2017/10/25,111,111.5,110,111,29616,32224.2,33231.65,35416.7
2017/10/24,110,111.5,109,109.5,27787,33403.6,35196.2,35357.867
2017/10/23,112.5,113,109,109.5,31047,35433.6,36732.6,35353.667
2017/10/20,112,113,111,112,28438,36110,40265.7,35631.017
2017/10/19,112,113.5,111.5,113,44233,35594.4,43621.65,35619.417
2017/10/18,111.5,112,110,111.5,35513,35098.8,46314.1,35529.817
2017/10/17,111,111,109.5,110.5,37937,36610.2,46858.2,35416.5
2017/10/16,109,110,108,109.5,34429,33052.8,47346.25,35329.267
2017/10/13,108,108,107,108,25860,30557.4,47146.3,35330.767
2017/10/12,108.5,109,107.5,108,41755,30547,47077.6,35389.633
2017/10/11,107.5,109,107,107,43070,27120.6,45941.3,35268.1
2017/10/06,106.5,107,106,106.5,20150,21656.8,44835.25,35140.083
2017/10/05,106.5,107,105,106,21952,24311.2,45805.6,35394.183
2017/10/03,107.5,108,106,106,25808,26850,45970,36407.55
2017/10/02,108,108,107,107,24623,29120,45815.25,37470.2
2017/09/30,106,107,105.5,107,15751,38483,45630.7,38251.6
2017/09/29,104.5,105.5,103.5,105,33422,49114.2,45794.85,38737.883
2017/09/28,106,106,104,104.5,34646,54132.8,44989.8,38723.667
2017/09/27,105,105.5,104.5,105,37158,67545.4,44881.5,38661.833
2017/09/26,104,106,103,103.5,71438,79225.2,44722.4,39005.9
2017/09/25,107,107,105,105,68907,84554,42000.5,38902.833
2017/09/22,109,110,108,108,58515,80051.6,39545.6,38546.9
2017/09/21,105.5,112,105,111,101709,77888.2,37622.95,38702.85
2017/09/20,109,110,106.5,106.5,95557,63632.4,33923.7,37813
2017/09/19,113.5,114,110,110,98082,49418.2,30588.6,37781.15
2017/09/18,114,115,113,114,46395,33607.6,26622.95,37527.033
2017/09/15,114,115,114,115,47698,28518.4,25236.8,39060.233
2017/09/14,115.5,115.5,114,114.5,30430,26890.2,24078.85,38893.55
2017/09/13,116.5,117.5,115.5,115.5,24486,25852.2,23449.7,39359.55
2017/09/12,117,117.5,116,117,19029,25497.6,23664.35,40111.25
2017/09/11,117.5,118,115.5,116,20949,25878.2,23895,41297.117
2017/09/08,116,117.5,115.5,117,39557,25495.2,25117.05,42471.317
2017/09/07,115.5,116.5,115,115.5,25240,21048,25198.75,42734.7
2017/09/06,116,116.5,115,115.5,22713,22496,26335.7,42686.267
2017/09/05,116.5,117,115.5,116.5,20932,24748.6,27564.5,42973.25
2017/09/04,116.5,117.5,116,116.5,19034,23962.2,28301.9,43330.767
2017/09/01,117,118,117,117.5,17321,24117.2,30115.55,43844.017
2017/08/31,118.5,119,117,117.5,32480,24665.4,30312.05,44118.967
2017/08/30,116,117.5,116,117.5,33976,23714.2,30323.2,43828.2
